island_ID,island_coordinates,island_area,island_perimeter,distance_Gam,buffer_area_1000m,tree_basal_area,species_number,soil_depth_mean,leaf_litter_cover,no_transects,no_plots
GB1,"-0.520461, 130.580800",4774.04,303.14,59.3,146.9,17.49,18,11.4,66.4,5,25
GB2,"-0.517484, 130.575020",7.29,10.24,56.65,71.06,0.95,1,0,0,0,1
GB3,"-0.517587, 130.568534",2329.91,184.23,172.07,45.8,15.86,17,3.72,96,4,20
GB4,"-0.517875, 130.568515",8.06,11.33,191.69,44.91,0.87,1,0,0,0,1
GB5,"-0.517319, 130.569511",20.27,16.6,136.06,47.01,6.65,2,0,0,0,1
GB6,"-0.515251, 130.568484",316.83,85.11,381.77,33.6,20.04,8,3.94,60,2,10
GB7,"-0.515023, 130.569425",1575.25,149.77,344.67,36.22,14.86,12,9.77,93,4,20
GB8,"-0.516626, 130.572132",1263.62,174.82,106.69,53.7,20.65,13,12.74,78,4,20
GB9,"-0.514338, 130.570002",1716.25,151.72,400.15,33.95,30.74,18,0.73,67,4,20
GB10,"-0.516784, 130.571887",121.47,46.37,115.03,52.69,3.36,5,0,0,1,5
GB11,"-0.516795, 130.570633",817.06,119.86,148.18,49.87,16.09,9,8.16,84,3,15
GB12,"-0.511540, 130.562918",1649.94,153.59,1091.2,21.38,7.36,14,2.63,57,4,20
GB13,"-0.512876, 130.560728",601.88,89.98,1198.45,20.51,9.41,10,7.66,80,2,10
GB14,"-0.516975, 130.587849",535.2,90.19,270.27,78.52,11.4,11,19.66,94,2,10
GB15,"-0.517134, 130.588345",380.6,77.77,226,87.76,29.03,9,22.28,100,1,5
GB16,"-0,512759, 130,593698",137.07,43.52,63.37,150.2,15.96,6,15.5,100,0,4
GB17,"-0,509643, 130,593850",18.43,18.09,5.4,133.54,16.39,3,0,0,0,2
GB18,"-0,506466, 130,593247",432.77,77,15.69,106.46,15.45,8,11.44,88,1,5
GB19,"-0.505713, 130.594019",15.1,15.65,8.52,111.52,2.22,1,0,0,0,1
GB20,"-0.515559, 130.587233",864,113.12,414.66,54.45,26.04,13,15.37,96,3,15
GB21,"-0.517444, 130.574433",10.51,12.17,1.63,68.47,14.47,2,0,0,0,1
GB22,"-0.521507, 130.580747",1571.48,165.94,39.82,156.79,19.26,14,8.59,92,4,20
GB23,"-0.519774, 130.583095",1375.63,153.22,62.99,120.73,10.35,13,6.08,81,4,20
GB24,"-0.517399, 130.584217",1862.75,184.86,257,76.22,24.39,17,11.19,86,4,20
GB25,"-0.512834, 130.587456",69.14,42.19,665.68,38.4,23.28,8,4.87,60,0,3
GB26,"-0.518895, 130.583215",3865.84,271.46,82.44,109.18,13,17,17.14,82.4,5,25
GB27,"-0.516057, 130.586318",11806.28,555.21,314.32,64.45,20.15,20,7.19,54,6,30
GB28,"-0.516375, 130.587596",4429.05,269.25,301.33,74.54,16.24,24,17.24,92,5,25
GB29,"-0.515429, 130.588068",5526.65,327.96,351.65,74.66,18.22,26,13.19,80,6,30
GB30,"-0.517726, 130.569355",8520.55,412.69,63.21,51.24,25.5,21,8.19,74,6,30
GB31,"-0.514186, 130.587698",7181.16,479.03,510.54,56.03,22.57,18,9.99,70,6,30
GB32,"-0.515237, 130.568412",13.63,18.09,397.35,32.24,0.87,1,0,0,0,1
GB36,"-0.513113, 130.559536",16.46,18.43,1246.85,20.4,0.39,1,0,0,0,2
GB37,"-0.513039, 130.557711",15.94,15.37,1123.65,21.64,4.25,2,0,0,0,1
GB42,"-0.517741, 130.568678",7,10.1,169.31,46.05,3.7,1,0,0,0,1
GB46,"-0.516615, 130.572347",77.94,36.16,137.26,53.35,4.86,5,0,0,0,3
GB52,"-0.522155, 130.580769",5.75,9.03,2.41,160.87,2.92,2,0,0,0,1
GB55,"-0.517649, 130.584401",25.49,20.63,257.43,74.51,5.42,5,0,0,0,2
GB56,"-0.517527, 130.584195",6.34,9.61,286.96,72.3,0.79,1,0,0,0,1
GB59,"-0.516095, 130.583098",2620.3,255.06,328.73,54.83,15.2,13,7.23,58,4,20
